Arquivo,Status Paridade,Erros Humanos Detectados,Tracao Python,Tracao Excel,Divergencia
AP COSMO LDA NOVA 03 - PROJETO 5 - POSTE 6E.xlsm,FAILED,Nenhum,80.8641,74.2583,6.605885
AP COSMO LDA NOVA 03 - PROJETO 5 - POSTE 6F.xlsm,OK,Nenhum,76.7268,76.7268,0.000000
AP COSMO LDA NOVA 03 - PROJETO 5 - POSTE 7C.xlsm,OK,Nenhum,116.5817,116.5817,0.000000
AP COSMO LDA NOVA 03 - PROJETO 5 - POSTE 7D.xlsm,FAILED,Nenhum,361.1630,324.0899,37.073154
AP COSMO LDA NOVA 03 - PROJETO 5 - POSTE 7E.xlsm,FAILED,Nenhum,521.4978,495.3581,26.139714
AP COSMO LDA NOVA 03 - PROJETO 5 - POSTE 7F.xlsm,OK,Nenhum,429.6700,429.6700,0.000000
AP COSMO LDA NOVA 03 - PROJETO 5 - POSTE 8C.xlsm,FAILED,Nenhum,41.3800,41.3900,0.010000
AP COSMO LDA NOVA 03 - PROJETO 5 - POSTE 8D.xlsm,OK,Nenhum,411.9741,411.9741,0.000000
AP COSMO LDA NOVA 03 - PROJETO 5 - POSTE 8E.xlsm,OK,Nenhum,412.3400,412.3400,0.000000
AP COSMO LDA NOVA 03 - PROJETO 5 - POSTE 8F.xlsm,FAILED,Nenhum,986.1374,946.3259,39.811477
AP COSMO LDA NOVA 03 - PROJETO 5 - POSTE 9C.xlsm,OK,Nenhum,139.5472,139.5472,0.000000
AP COSMO LDA NOVA 03 - PROJETO 5 - POSTE 9D.xlsm,FAILED,Nenhum,587.6231,564.0149,23.608240
AP COSMO LDA NOVA 03 - PROJETO 5 - POSTE 9E.xlsm,FAILED,Nenhum,299.8500,299.8600,0.010000
